"id","username","email","password_hash","role_id","created_at","updated_at","client_id"
"c32a4940-6208-46b7-8dea-4af7b683cacf","testadmin","admin@example.com","$2b$12$HCBKENEmS38Fpvt/kCZgFOxNCbZevzsqSOAxX3fZDpnZn9nKhv26C","81abbed1-a608-4a37-ac3a-e7de1ec80944","2025-01-16 17:09:07.659176","2025-01-16 17:09:07.660178",""
"4b5b8957-db65-480d-bb9b-f0ed95f94a22","test_finance","finance@example.com","$2b$12$2cuKI7.xNWsBrh3CwTIcyu/7pfCFdGIzmEd2GicjnXorxOrlo91E.","12c9a3ee-6ea8-4f7b-9ec3-b64e5177651f","2025-01-16 17:17:07.894362","2025-01-16 17:17:07.894362",""
"fa859819-6206-4e39-9ada-47c2e2e56f9f","test_auditor","auditor@example.com","$2b$12$WDcl4IbGsf8VX84lgkDqteW8PRFzoJ/6MhANjtuGG8jmnQzWj0RhO","ed2e3c7e-98df-4e20-8dce-e0dd127642db","2025-01-16 17:17:11.503917","2025-01-16 17:17:11.503917",""
"a062c4ea-9a96-43fb-b7a2-410a0bd42117","admin","admin@admin.com","$2b$12$vIQOMGEnX9ZtvYKhi9iKCeCzQnk2I5tz7TgtmDWqUAZJhzkja07dG","81abbed1-a608-4a37-ac3a-e7de1ec80944","2025-01-17 00:14:19.470778","2025-01-17 00:14:19.470778",""
"11eedd9c-b8b8-42ce-a8a4-51bf387ca8b3","Tech Innovators","innovators@techworld.com","$2b$12$esr/ZOChfgEdnMzwIGgUMOxEzmwseVVL4HHw51k0kGKcvSrqKoZgS","094f40bd-14de-48b0-8979-c8a7da41cab2","2025-01-17 02:44:24.232247","2025-01-17 02:44:24.232247","a30f6cf1-c914-4951-94c1-bea5a57006b2"
"5563cbb5-ca36-4b69-a897-51e77b6e2742","Eco Builders","admin@ecobuilders.com","$2b$12$6DIvm3YhaexevH3XCvznDO5J91CbhArIli/x5O4JpaRWKmuibTAf.","094f40bd-14de-48b0-8979-c8a7da41cab2","2025-01-17 02:44:38.335859","2025-01-17 02:44:38.335859","40d5c0a0-7e68-4655-9b39-b2d330f9be60"
"fc923749-8bc0-43b6-97c0-4f282f424fbb","Future Robotics","contact@roboticsfuture.com","$2b$12$iVou8g.acUBiAJXAO04/p..ua5Zg2sKVUbqT4ZzTpSx.cQXO7DfuO","094f40bd-14de-48b0-8979-c8a7da41cab2","2025-01-17 02:44:50.795339","2025-01-17 02:44:50.795339","040e4ede-da43-4e1a-a6bc-525171eeec34"
"8edb5c87-c262-4590-a2b4-28054995d3ed","Green Energy Solutions","info@greenenergy.com","$2b$12$vmFs0cVYfwBC9yxPTh5Ya.xXTE92n1Nvs3H6WskgQQYXl2gF5Mu5q","094f40bd-14de-48b0-8979-c8a7da41cab2","2025-01-17 02:44:58.117989","2025-01-17 02:44:58.117989","05e5aed7-caa7-4362-b546-2b85d95f417b"
"e6d09234-fa53-49c4-b92c-90fab1c2402d","Auto Dynamics","admin@autodynamics.com","$2b$12$ZTXSGTxXuD3nnFpkTr/DGOFm0sHqZMZtxHzwWyIVGCr0uC1LY8dgq","094f40bd-14de-48b0-8979-c8a7da41cab2","2025-01-17 02:45:05.566445","2025-01-17 02:45:05.566445","4d92503a-56a6-4cb1-90c2-eb5a96c49b52"
"a9e7384e-4e3a-44d0-a4e3-6da762ba311f","Smart Solutions","admin@smartsolutions.com","$2b$12$Vrku.rMVgyE6.ZPG/Gbuwer9NAfJJ0f2tVHmLXa4hF4T0tWsSfVDq","094f40bd-14de-48b0-8979-c8a7da41cab2","2025-01-17 02:45:11.37513","2025-01-17 02:45:11.37513","84eb746a-d3b0-4fb0-86fc-57c3a59ace2c"
"35c71f21-fe25-4b30-ad8c-af3ab9222e2e","Bright Horizons","contact@brighthorizons.com","$2b$12$2yTN3gNe8Uxn/9MJ1/djJugqDxHFczDqpbuiQ3JWVqie18CU11N1m","094f40bd-14de-48b0-8979-c8a7da41cab2","2025-01-17 02:45:17.732423","2025-01-17 02:45:17.732423","6cb3ae52-99fd-48bf-876f-ff942730cdc5"
"041d34e6-b410-402f-a518-d880ec0c792f","Healthy Living","info@healthyliving.com","$2b$12$aqywQ0VXKC8X4TmUUXxN1.m7MKdqSEq2EUdLYVt5nVbvaePEzv/iK","094f40bd-14de-48b0-8979-c8a7da41cab2","2025-01-17 02:45:23.122878","2025-01-17 02:45:23.122878","21be3212-0a2f-4750-9c7c-08f24c677a02"
"38594bf8-1e5a-4e74-a6a4-33d615a789d4","SafeTech","admin@safetech.com","$2b$12$kOb7pSETIYjUHp5lEnJGJ.D.EGcshewgqJYEP8w0mUc7JOMidvP/6","094f40bd-14de-48b0-8979-c8a7da41cab2","2025-01-17 02:45:27.886648","2025-01-17 02:45:27.886648","7d4722ae-993e-45ea-ab1d-c1ce2ac0ad7d"
"0b83a043-a96b-45d5-9d4d-4a0395487ded","Global Reach","contact@globalreach.com","$2b$12$u7.PCfqrH7pT8q3mVwPQ5.B/rJ40/7sBxubgFx9J9yqFn1V77Ez1q","094f40bd-14de-48b0-8979-c8a7da41cab2","2025-01-17 02:45:33.520715","2025-01-17 02:45:33.520715","bcf12894-46a7-411b-b83a-c9c512aea373"
"a52277c1-9977-4eba-ad04-842d81d3c563","Dentist","dentist@dentist.com","$2b$12$9kEIur08uTjiernjk.uAhOGNazv9S4bpL57yzGM58wSqEeB1eF7wC","094f40bd-14de-48b0-8979-c8a7da41cab2","2025-01-17 13:25:26.431754","2025-01-17 13:25:26.431754","ff965bd4-396f-45c0-9000-c88dbca19c17"
